Year,Group,Value
2006,Frauen,5
2006,Männer,59
2007,Frauen,5
2007,Männer,59
2008,Frauen,5
2008,Männer,59
2009,Frauen,5
2009,Männer,59
2010,Frauen,8
2010,Männer,56
2011,Frauen,8
2011,Männer,56
2012,Frauen,8
2012,Männer,56
2013,Frauen,8
2013,Männer,56
2014,Frauen,8
2014,Männer,56
2015,Frauen,6
2015,Männer,55
2016,Frauen,6
2016,Männer,55
2017,Frauen,5
2017,Männer,55
2018,Frauen,5
2018,Männer,55
2019,Frauen,5
2019,Männer,55
2020,Frauen,8
2020,Männer,58
2021,Frauen,7
2021,Männer,58
2022,Frauen,7
2022,Männer,58
